year,ActorId,Name,MovieId,Title,genre,Country,gross
2000,1050,Ali Larter,657,Final Destination,#N/A,Asia,20.75
2007,1050,Ali Larter,463,Resident Evil: Extinction,#N/A,America,77
2013,978,Alice Braga,166,Elysium,Drama,America,90.5
2007,978,Alice Braga,557,I Am Legend,Drama,America,140.25
2010,978,Alice Braga,208,Predators,#N/A,America,189.75
2014,1677,Alicia Vikander,688,Ex Machina,Drama,Other countries,152
2016,1677,Alicia Vikander,773,Jason Bourne,#N/A,America,122
2015,1677,Alicia Vikander,608,The Man from U.N.C.L.E.,Comedy,America,20.5
#N/A,299,Alison Doody,138,Indiana Jones and the Last Crusade,#N/A,#N/A,#N/A
2009,161,Alison Lohman,382,Drag Me to Hell,#N/A,Other countries,128.25
2016,1329,Alison Sudol,153,Fantastic Beasts and Where to Find Them,#N/A,America,92.25
2014,1237,Allen Leech,530,The Imitation Game,Biography,America,107
1985,1187,Ally Sheedy,770,The Breakfast Club,Comedy,America,38.75
2000,1335,Álvaro Guerrero,514,Amores perros,Drama,Other countries,41
2001,626,Alyson Hannigan,221,American Pie 2,Comedy,America,87.5
2012,626,Alyson Hannigan,215,American Reunion,Comedy,America,181.75
2003,626,Alyson Hannigan,327,American Wedding,Comedy,America,28.75
2010,1495,Amanda Bynes,1000,Easy A,Romance,America,134.25
1997,1770,Amanda Donohoe,791,Liar Liar,Comedy,America,126.25
2009,446,Amanda Peet,278,2012,#N/A,Other countries,92.25
2003,446,Amanda Peet,847,Identity,#N/A,America,78.5
2014,560,Amanda Seyfried,637,A Million Ways to Die in the West,Comedy,America,39.25
2011,560,Amanda Seyfried,35,In Time,Drama,America,34.5
2012,560,Amanda Seyfried,62,Les Misérables,Drama,America,157.75
2008,560,Amanda Seyfried,718,Mamma Mia!,Romance,Other countries,39.75
2015,560,Amanda Seyfried,345,Ted 2,Comedy,America,158.25
2007,644,Amara Karan,883,The Darjeeling Limited,Comedy,America,100
2011,999,Amara Miller,863,The Descendants,Comedy,Asia,11.5
#N/A,1018,Amber Armstrong,882,Paranormal Activity,#N/A,#N/A,#N/A
2010,1075,Amber Tamblyn,993,127 Hours,Biography,Asia,22.5
2005,503,Amber Valletta,949,Hitch,Romance,America,125.75
#N/A,503,Amber Valletta,486,Transporter 2,#N/A,#N/A,#N/A
2012,1062,America Ferrera,918,End of Watch,Drama,America,64.5
2014,195,Amr Waked,15,Lucy,Sci-Fi,America,108.75
1984,461,Amrish Puri,482,Indiana Jones and the Temple of Doom,#N/A,Asia,16.75
2013,1480,Amy Adams,533,American Hustle,Drama,Other countries,133.25
2016,1480,Amy Adams,665,Arrival,Drama,America,93
2016,1480,Amy Adams,668,Batman v Superman: Dawn of Justice,#N/A,America,190.75
2007,1480,Amy Adams,280,Enchanted,Comedy,America,137.25
2013,1480,Amy Adams,315,Her,Romance,America,29.5
#N/A,1480,Amy Adams,912,Man of Steel,#N/A,#N/A,#N/A
2009,1480,Amy Adams,271,Night at the Museum: Battle of the Smithsonian,Comedy,America,159
2016,1480,Amy Adams,92,Nocturnal Animals,Drama,America,35.75
2010,1480,Amy Adams,484,The Fighter,Biography,America,88.5
2015,81,Amy Poehler,686,Inside Out,Comedy,America,104.75
#N/A,467,Amy Ryan,32,Bridge of Spies,Drama,#N/A,#N/A
2008,467,Amy Ryan,43,Changeling,Biography,Asia,34.25
2006,1501,Amy Smart,797,Crank,#N/A,Europe,38.75
2004,1501,Amy Smart,762,The Butterfly Effect,Drama,America,142.75
2013,222,Analeigh Tipton,127,Warm Bodies,Romance,America,7.25
#N/A,1567,Ananda George,392,Serbuan maut,#N/A,#N/A,#N/A
2015,1486,Anders Holm,302,The Intern,Comedy,Asia,20.5
1993,621,Andie MacDowell,178,Groundhog Day,Romance,America,196.75
2007,731,Andre Braugher,861,The Mist,#N/A,America,111.5
1995,1265,Andrea Eckert,825,Before Sunrise,Romance,America,57.25
2014,741,Andrea Riseborough,87,Birdman or (The Unexpected Virtue of Ignorance),Comedy,America,114
2013,741,Andrea Riseborough,12,Oblivion,Sci-Fi,America,121.75
2016,1674,Andrew Garfield,219,Hacksaw Ridge,Biography,America,116.75
2012,1674,Andrew Garfield,9,The Amazing Spider-Man,Sci-Fi,Asia,21.25
2014,1674,Andrew Garfield,246,The Amazing Spider-Man 2,#N/A,Europe,8.5
2010,1674,Andrew Garfield,475,The Social Network,Biography,America,96
1995,1046,Andrew Kevin Walker,109,Se7en,Drama,America,34.25
1997,1098,Andrew Miller,892,Cube,Drama,America,72
1990,1324,Andy Garcia,945,The Godfather: Part III,Drama,Other countries,189
2012,220,Andy Samberg,908,Hotel Transylvania,Comedy,Other countries,113.25
2014,1788,Andy Serkis,731,Dawn of the Planet of the Apes,Drama,Other countries,52
2011,1788,Andy Serkis,419,Rise of the Planet of the Apes,Drama,America,73.5
2011,1788,Andy Serkis,697,The Adventures of Tintin,Animation,America,21.25
2012,1788,Andy Serkis,1,The Hobbit: An Unexpected Journey,#N/A,America,24.5
2015,1014,Ang Phula Sherpa,871,Everest,Biography,America,74
2013,1736,Angela Bassett,207,Olympus Has Fallen,#N/A,Asia,34
2008,1099,Angelina Jolie,43,Changeling,Biography,Asia,34.25
2000,1099,Angelina Jolie,624,Gone in Sixty Seconds,#N/A,America,130.25
2008,1099,Angelina Jolie,720,Kung Fu Panda,Animation,America,131.25
#N/A,1099,Angelina Jolie,597,Kung Fu Panda 2,Animation,#N/A,#N/A
2001,1099,Angelina Jolie,440,Lara Croft: Tomb Raider,#N/A,America,65.75
2014,1099,Angelina Jolie,434,Maleficent,#N/A,Other countries,31.25
2005,1099,Angelina Jolie,131,Mr. & Mrs. Smith,Comedy,Asia,80.5
2010,1099,Angelina Jolie,771,Salt,#N/A,Other countries,145.75
2010,1099,Angelina Jolie,202,The Tourist,#N/A,Other countries,165.25
#N/A,1099,Angelina Jolie,447,Wanted,#N/A,#N/A,#N/A
2016,1026,Angourie Rice,134,The Nice Guys,Comedy,America,45.25
1995,1687,Angus Macfadyen,472,Braveheart,Biography,Asia,43.5
2006,1687,Angus Macfadyen,228,Saw III,#N/A,America,52.25
2008,1716,Anil Kapoor,401,Slumdog Millionaire,Romance,America,134.5
2004,370,Anjelica Huston,133,The Life Aquatic with Steve Zissou,Comedy,America,82.25
2001,370,Anjelica Huston,873,The Royal Tenenbaums,Comedy,America,43.5
2012,1732,Anna Camp,305,Pitch Perfect,Romance,America,157
2009,1494,Anna Faris,915,Cloudy with a Chance of Meatballs,Animation,America,93.75
#N/A,1494,Anna Faris,276,Lost in Translation,Drama,#N/A,#N/A
2000,1494,Anna Faris,699,Scary Movie,Comedy,America,162.25
2012,1494,Anna Faris,422,The Dictator,Comedy,America,121.25
2011,1150,Anna Friel,122,Limitless,Sci-Fi,Asia,22
2011,1087,Anna Hutchison,550,The Cabin in the Woods,Comedy,America,134.75
2011,1173,Anna Kendrick,117,50/50,Romance,America,19.25
2012,1173,Anna Kendrick,918,End of Watch,Drama,America,64.5
2012,1173,Anna Kendrick,305,Pitch Perfect,Romance,America,157
2010,1173,Anna Kendrick,435,Scott Pilgrim vs. the World,Comedy,America,81.25
2016,1173,Anna Kendrick,921,The Accountant,Drama,America,109
2009,1173,Anna Kendrick,269,Up in the Air,Romance,America,79
1980,796,Anne Bancroft,149,The Elephant Man,Biography,Asia,5.5
1967,796,Anne Bancroft,284,The Graduate,Romance,Asia,57.25
2010,403,Anne Hathaway,266,Alice in Wonderland,#N/A,America,227
2008,403,Anne Hathaway,130,Get Smart,Comedy,America,92.5
2014,403,Anne Hathaway,69,Interstellar,Drama,America,88.5
2012,403,Anne Hathaway,62,Les Misérables,Drama,America,157.75
2010,403,Anne Hathaway,927,Love & Other Drugs,Romance,Asia,14.5
#N/A,403,Anne Hathaway,890,Rio,Comedy,#N/A,#N/A
2012,403,Anne Hathaway,779,The Dark Knight Rises,#N/A,America,55.25
2006,403,Anne Hathaway,425,The Devil Wears Prada,Comedy,America,61.5
2015,403,Anne Hathaway,302,The Intern,Comedy,Asia,20.5
#N/A,306,Anne Le Ny,175,Intouchables,Comedy,#N/A,#N/A
1999,887,Annette Bening,287,American Beauty,Drama,America,107.5
1996,887,Annette Bening,583,Mars Attacks!,Comedy,America,65
#N/A,162,Annie McEnroe,897,Beetlejuice,Comedy,#N/A,#N/A
2012,1540,Annika Wedderkopp,880,Jagten,Drama,America,116.25
2015,339,Ansel Elgort,910,Insurgent,#N/A,America,132.75
2014,339,Ansel Elgort,614,The Fault in Our Stars,Romance,America,44.25
2000,974,Anthony Anderson,265,"Me, Myself & Irene",Comedy,Asia,18
2007,1688,Anthony Edwards,119,Zodiac,Drama,America,43.5
1992,1797,Anthony Hopkins,94,Dracula,#N/A,America,128.5
2007,1797,Anthony Hopkins,603,Fracture,Drama,America,87.25
2001,1797,Anthony Hopkins,397,Hannibal,Drama,Other countries,82.25
#N/A,1797,Anthony Hopkins,116,Meet Joe Black,Romance,#N/A,#N/A
2014,1797,Anthony Hopkins,599,Noah,Drama,America,25
2002,1797,Anthony Hopkins,964,Red Dragon,Drama,America,80.75
1980,1797,Anthony Hopkins,149,The Elephant Man,Biography,Asia,5.5
1991,1797,Anthony Hopkins,872,The Silence of the Lambs,Drama,America,146.25
2011,1797,Anthony Hopkins,462,Thor,#N/A,America,59.75
2013,931,Anthony Mackie,564,Pain & Gain,Comedy,Asia,6.75
2011,931,Anthony Mackie,596,Real Steel,Drama,America,20.25
2008,931,Anthony Mackie,204,The Hurt Locker,Drama,Other countries,119.5
1990,845,Anthony Michael Hall,621,Edward Scissorhands,Romance,America,113.25
1960,670,Anthony Perkins,185,Psycho,#N/A,Other countries,68.25
1962,1422,Anthony Quinn,52,Lawrence of Arabia,Biography,America,97.5
2009,552,Anton Yelchin,196,Terminator Salvation,#N/A,America,66.75
1988,126,Antonella Attili,860,Nuovo Cinema Paradiso,Drama,America,124.25
1995,1500,Antonio Banderas,395,Desperado,#N/A,America,58.75
1994,1500,Antonio Banderas,801,Interview with the Vampire: The Vampire Chronicles,Drama,America,144.5
2010,1500,Antonio Banderas,336,Shrek Forever After,Comedy,America,142.75
2007,1500,Antonio Banderas,640,Shrek the Third,Comedy,America,60.25
2006,1247,Antonio Tarver,664,Rocky Balboa,Sport,Asia,32.75
2016,797,Anya Taylor-Joy,848,Split,#N/A,America,214.25
2006,290,Ariadna Gil,343,El laberinto del fauno,Drama,America,138.25
2013,1393,Armie Hammer,256,The Lone Ranger,#N/A,Asia,8.5
2015,1393,Armie Hammer,608,The Man from U.N.C.L.E.,Comedy,America,20.5
2007,1695,Armin Mueller-Stahl,478,Eastern Promises,Drama,America,143.75
1997,718,Arnold Schwarzenegger,749,Batman & Robin,#N/A,Asia,89.75
2013,718,Arnold Schwarzenegger,698,Escape Plan,#N/A,America,86.75
1987,718,Arnold Schwarzenegger,176,Predator,#N/A,Asia,14.75
1991,718,Arnold Schwarzenegger,783,Terminator 2: Judgment Day,#N/A,America,114
2003,718,Arnold Schwarzenegger,748,Terminator 3: Rise of the Machines,#N/A,America,181
2015,718,Arnold Schwarzenegger,236,Terminator Genisys,#N/A,Asia,67.5
1984,718,Arnold Schwarzenegger,342,The Terminator,#N/A,America,174.5
1990,718,Arnold Schwarzenegger,573,Total Recall,#N/A,America,60
#N/A,718,Arnold Schwarzenegger,448,True Lies,Comedy,#N/A,#N/A
1999,1022,Arnold Vosloo,261,The Mummy,#N/A,Other countries,156.5
2001,1022,Arnold Vosloo,192,The Mummy Returns,#N/A,America,96.75
2014,1135,Art Parkinson,551,Dracula Untold,Drama,America,177.25
2013,355,Asa Butterfield,418,Ender's Game,#N/A,Other countries,113.5
2011,355,Asa Butterfield,538,Hugo,Drama,America,43.5
2008,355,Asa Butterfield,687,The Boy in the Striped Pyjamas,Drama,Other countries,206.75
2008,1346,Ashlyn Sanchez,76,The Happening,Sci-Fi,America,145.25
2011,742,Ashton Kutcher,569,No Strings Attached,Romance,America,41.75
2004,742,Ashton Kutcher,762,The Butterfly Effect,Drama,America,142.75
#N/A,655,Asia Argento,879,xXx,#N/A,#N/A,#N/A
#N/A,1,Audrey Fleurot,175,Intouchables,Comedy,#N/A,#N/A
#N/A,1542,Audrey Tautou,788,Le fabuleux destin d'Amélie Poulain,Romance,#N/A,#N/A
2006,1542,Audrey Tautou,792,The Da Vinci Code,#N/A,America,121.75
2016,1388,Auli'i Cravalho,416,Moana,Comedy,America,81.5
1988,725,Ayano Shiraishi,591,Hotaru no haka,Drama,America,112.5
2009,1421,Ayelet Zurer,532,Angels & Demons,#N/A,America,37.25
2012,802,Aziz Ansari,144,Ice Age: Continental Drift,Comedy,Asia,65
2006,245,Bahar Soomekh,228,Saw III,#N/A,America,52.25
1958,601,Barbara Bel Geddes,84,Vertigo,Romance,America,60
1939,679,Barbara O'Neil,63,Gone with the Wind,Romance,America,200.75
2013,1392,Barkhad Abdi,800,Captain Phillips,Biography,Other countries,119.75
2013,172,Barkhad Abdirahman,800,Captain Phillips,Biography,Other countries,119.75
2002,102,Barry Pepper,372,25th Hour,Drama,America,207.5
1998,1260,BD Wong,575,Mulan,Animation,America,142
2008,274,Bee Vang,616,Gran Torino,Drama,America,99
2012,1565,Ben Affleck,110,Argo,Biography,Other countries,78.25
1998,1565,Ben Affleck,164,Armageddon,Sci-Fi,America,100.5
2016,1565,Ben Affleck,668,Batman v Superman: Dawn of Justice,#N/A,America,190.75
2003,1565,Ben Affleck,501,Daredevil,#N/A,Asia,6.5
1999,1565,Ben Affleck,17,Dogma,Comedy,America,30.75
#N/A,1565,Ben Affleck,758,Gone Girl,Drama,#N/A,#N/A
1997,1565,Ben Affleck,754,Good Will Hunting,Romance,America,57.5
2001,1565,Ben Affleck,239,Pearl Harbor,Drama,Asia,45.75
2016,1565,Ben Affleck,921,The Accountant,Drama,America,109
2010,1565,Ben Affleck,843,The Town,Drama,America,209.25
2008,754,Ben Barnes,354,The Chronicles of Narnia: Prince Caspian,#N/A,America,63
2008,42,Ben Burtt,143,WALL·E,Animation,Other countries,136.75
2007,45,Ben Foster,950,3:10 to Yuma,Drama,Asia,16.75
2016,45,Ben Foster,602,Hell or High Water,Drama,America,110.5
2013,45,Ben Foster,351,Lone Survivor,Biography,America,69
2016,45,Ben Foster,735,Warcraft,#N/A,Asia,87
1982,1399,Ben Kingsley,461,Gandhi,Biography,Other countries,142
2011,1399,Ben Kingsley,538,Hugo,Drama,America,43.5
2006,1399,Ben Kingsley,211,Lucky Number Slevin,Drama,America,31.5
2010,1399,Ben Kingsley,991,Prince of Persia: The Sands of Time,#N/A,America,43
1993,1399,Ben Kingsley,312,Schindler's List,Biography,America,138.5
2010,1399,Ben Kingsley,394,Shutter Island,#N/A,America,25
2012,1399,Ben Kingsley,422,The Dictator,Comedy,America,121.25
2016,1399,Ben Kingsley,544,The Jungle Book,Drama,America,51
1998,276,Ben Shenkman,815,Pi,Drama,Other countries,189.25
2004,1743,Ben Stiller,445,Dodgeball: A True Underdog Story,Comedy,America,47.25
2005,1743,Ben Stiller,835,Madagascar,Comedy,America,41.5
2008,1743,Ben Stiller,856,Madagascar: Escape 2 Africa,Comedy,Asia,44.5
2004,1743,Ben Stiller,8,Meet the Fockers,Romance,Asia,78.75
2000,1743,Ben Stiller,188,Meet the Parents,Romance,America,110
2006,1743,Ben Stiller,2,Night at the Museum,Comedy,America,161.75
2009,1743,Ben Stiller,271,Night at the Museum: Battle of the Smithsonian,Comedy,America,159
2001,1743,Ben Stiller,873,The Royal Tenenbaums,Comedy,America,43.5
2013,1743,Ben Stiller,148,The Secret Life of Walter Mitty,Comedy,America,110.75
1998,1743,Ben Stiller,379,There's Something About Mary,Romance,America,112.75
2008,1743,Ben Stiller,539,Tropic Thunder,Comedy,Asia,28.75
2001,1743,Ben Stiller,85,Zoolander,Comedy,America,150.75
2007,841,Ben Walker,690,The Golden Compass,#N/A,Asia,39.5
2006,755,Ben Whishaw,78,Perfume: The Story of a Murderer,Drama,Other countries,251.25
2016,882,Benedict Cumberbatch,19,Doctor Strange,#N/A,America,186.25
2013,882,Benedict Cumberbatch,667,Star Trek Into Darkness,#N/A,America,141.75
2014,882,Benedict Cumberbatch,530,The Imitation Game,Biography,America,107
2016,1383,Benedict Wong,19,Doctor Strange,#N/A,America,186.25
2003,1239,Benicio Del Toro,595,21 Grams,Drama,America,47
1998,1239,Benicio Del Toro,444,Fear and Loathing in Las Vegas,Comedy,Other countries,58.5
2015,1239,Benicio Del Toro,952,Sicario,Drama,America,133.5
2000,1239,Benicio Del Toro,704,Snatch,Comedy,America,74
2000,1239,Benicio Del Toro,904,Traffic,Drama,America,224.5
2013,825,Benjamin Bratt,963,Despicable Me 2,Comedy,America,65.75
2000,825,Benjamin Bratt,301,Miss Congeniality,Comedy,Asia,16.25
#N/A,1753,Bérénice Bejo,682,The Artist,Romance,#N/A,#N/A
1939,1275,Bert Lahr,546,The Wizard of Oz,#N/A,America,68
1981,238,Betsy Baker,996,The Evil Dead,#N/A,America,112.25
2005,555,Beverley Mitchell,152,Saw II,#N/A,America,136
1998,1718,Beverly D'Angelo,81,American History X,Drama,America,177
2007,289,Beverly Todd,795,The Bucket List,Comedy,America,88
2002,1002,Beyoncé,66,Austin Powers in Goldmember,Comedy,Asia,18.75
2009,874,Bill Hader,915,Cloudy with a Chance of Meatballs,Animation,America,93.75
2015,874,Bill Hader,686,Inside Out,Comedy,America,104.75
2007,874,Bill Hader,77,Superbad,Comedy,America,131.25
#N/A,1146,Bill McKinney,999,First Blood,#N/A,#N/A,#N/A
2000,747,Bill Murray,713,Charlie's Angels,Comedy,Other countries,113.25
2009,747,Bill Murray,240,Fantastic Mr. Fox,Comedy,America,54.5
#N/A,747,Bill Murray,672,Ghost Busters,Comedy,#N/A,#N/A
#N/A,747,Bill Murray,42,Ghostbusters II,Comedy,#N/A,#N/A
1993,747,Bill Murray,178,Groundhog Day,Romance,America,196.75
#N/A,747,Bill Murray,276,Lost in Translation,Drama,#N/A,#N/A
2012,747,Bill Murray,254,Moonrise Kingdom,Comedy,America,73.5
2016,747,Bill Murray,544,The Jungle Book,Drama,America,51
2004,747,Bill Murray,133,The Life Aquatic with Steve Zissou,Comedy,America,82.25
2013,110,Bill Nighy,523,About Time,Comedy,America,57
2010,110,Bill Nighy,98,Harry Potter and the Deathly Hallows: Part 1,#N/A,America,135
2007,110,Bill Nighy,796,Hot Fuzz,Comedy,America,35.5
#N/A,110,Bill Nighy,576,Underworld: Evolution,#N/A,#N/A,#N/A
2008,110,Bill Nighy,951,Valkyrie,Drama,America,73.75
2013,1081,Bill Paxton,932,2 Guns,Comedy,America,154.5
1995,1081,Bill Paxton,703,Apollo 13,Drama,America,10.75
2014,1081,Bill Paxton,378,Edge of Tomorrow,#N/A,America,101
2014,1081,Bill Paxton,790,Nightcrawler,Drama,Asia,23.75
#N/A,1081,Bill Paxton,448,True Lies,Comedy,#N/A,#N/A
1996,1081,Bill Paxton,339,Twister,Drama,Other countries,136
1996,1161,Bill Pullman,840,Independence Day,#N/A,Other countries,67.5
2000,996,Bill Sage,508,American Psycho,Drama,America,81.25
1998,279,Billy Bob Thornton,164,Armageddon,Sci-Fi,America,100.5
2014,279,Billy Bob Thornton,677,The Judge,Drama,America,49
2003,333,Billy Boyd,822,Master and Commander: The Far Side of the World,Drama,America,65
2008,1185,Billy Burke,766,Twilight,Romance,America,87.75
#N/A,1737,Billy Connolly,51,Brave,Comedy,#N/A,#N/A
2003,1737,Billy Connolly,517,The Last Samurai,Drama,America,51.5
2000,1514,Billy Crudup,488,Almost Famous,Comedy,Other countries,139.75
2003,1514,Billy Crudup,594,Big Fish,Drama,America,54.5
1997,1514,Billy Crudup,184,Mononoke-hime,Animation,America,95
